"#";"ћетка";"«начение"
"1";"C1, C2, C6, C7, C11, C12";"47/35v"
"2";"C3, C4, C5, C8, C9, C10";"10n"
"3";"C13";"0.1/400v"
"4";"C17, C20";"560/400"
"5";"C21";"100н‘"
"6";"C22";"100нф"
"7";"C23";"270 п‘"
"8";"D1, D4, D7";"BYV26C"
"9";"D2, D3, D5, D9";"P6KE18A"
"10";"D6, D8";"P6KE15A"
"11";"D10";"P6KE250A"
"12";"D11";"PMLL4148L"
"13";"D12, D13";"MRA4007T3G"
"14";"DB1";"GBJ15K"
"15";"FU1";"1A"
"16";"K1";""
"17";"Q1, Q2, Q3, Q4, Q5, Q6";"40N60"
"18";"R1, R2, R9, R10, R16, R17";"100"
"19";"R3";"0,01"
"20";"R4, R5, R12, R13, R19, R20";"10R"
"21";"R6";"*"
"22";"R7, R8, R11";"2R2"
"23";"R14";"1 кќм"
"24";"R15";"270 kOm"
"25";"R18, R21, R22, R24, R25, R26";"*"
"26";"R23";"10к"
"27";"R30";"100k"
"28";"R31";"100k"
"29";"R32";"1k"
"30";"R33";"510"
"31";"R35";"200 ќм"
"32";"U4";""
"33";"U5";"MCP6042"
"34";"U6";"LMV7219"
"35";"VD1";"REL"
"36";"VD3";"SM6T200A"
"37";"VD4";"SMBJ170A-TR"
"38";"VO1, VO2, VO3, VO4, VO5, VO6";"HCPL-3120"
"39";"VO7";""
"40";"VO8";"PC817"
"41";"VO9, VO10, VO11";""
"42";"XP1";"220¬."
"43";"XP2";""
"44";"XP3";"15V Chopper"
"45";"XP4";"220"
"46";"XP5";"15V DC"
"47";"XP6";"Protect"
"48";"XP7";"Power"
"49";"XP8";"Termo"
"50";"XP9";"Termo"
"51";"XP10";"Cooler"
"52";"XP11";"Cooler"
